379.941	0.805
385.024	1.494
390.4	1.613
396	1.331
401.762	1.273
407.638	1.428
413.585	1.534
419.573	1.717
425.573	1.697
431.568	1.776
437.541	1.769
443.483	1.596
449.388	1.553
455.251	1.452
461.072	1.458
466.852	1.337
472.594	1.177
478.302	1.169
483.98	1.161
489.634	1.097
495.269	0.901
500.891	0.754
506.505	0.631
512.117	0.539
517.731	0.525
523.351	0.56
528.981	0.573
534.625	0.58
540.283	0.565
545.959	0.567
551.653	0.605
557.365	0.681
563.095	0.789
568.843	0.84
574.607	0.879
580.385	0.928
586.176	0.984
591.976	1.097
597.784	1.193
603.597	1.239
609.411	1.235
615.223	1.244
621.032	1.263
626.834	1.339
632.626	1.47
638.406	1.558
644.173	1.592
649.924	1.581
655.658	1.608
661.374	1.554
667.071	1.387
672.749	0.812
678.408	0.394
684.049	0.212
689.672	0.14
695.279	0.104
700.871	0.086
706.451	0.076
712.021	0.066
717.582	0.067
723.137	0.057
728.689	0.055
734.241	0.052
739.794	0.051
745.352	0.051
750.916	0.057
756.488	0.063
762.07	0.075
767.662	0.067
773.266	0.059
778.881	0.048
784.507	0.047
790.142	0.043
795.784	0.044
801.431	0.044
807.079	0.042
812.723	0.041
818.36	0.039
823.983	0.034
829.586	0.038
835.162	0.04
840.705	0.043
846.207	0.046
851.66	0.051
857.058	0.058
862.394	0.061
867.662	0.053
872.856	0.039
877.974	0.037
883.014	0.038
887.978	0.038
892.869	0.043
897.695	0.055
902.469	0.069
907.207	0.081
911.933	0.099
916.677	0.11
921.477	0.115
926.38	0.12
931.444	0.139
936.736	0.153
942.338	0.162
948.346	0.171
948.644	0.175
948.943	0.176
949.243	0.178
949.545	0.179
949.848	0.183
950.152	0.186
