379.941	0.805
385.024	1.577
390.4	1.632
396	1.364
401.762	1.296
407.638	1.464
413.585	1.542
419.573	1.728
425.573	1.733
431.568	1.776
437.541	1.715
443.483	1.513
449.388	1.437
455.251	1.349
461.072	1.29
466.852	1.178
472.594	0.994
478.302	0.904
483.98	0.805
489.634	0.72
495.269	0.651
500.891	0.608
506.505	0.58
512.117	0.525
517.731	0.501
523.351	0.504
528.981	0.49
534.625	0.476
540.283	0.456
545.959	0.441
551.653	0.426
557.365	0.428
563.095	0.43
568.843	0.423
574.607	0.418
580.385	0.42
586.176	0.431
591.976	0.445
597.784	0.461
603.597	0.463
609.411	0.459
615.223	0.463
621.032	0.482
626.834	0.511
632.626	0.567
638.406	0.665
644.173	0.79
649.924	0.865
655.658	0.841
661.374	0.651
667.071	0.427
672.749	0.288
678.408	0.225
684.049	0.191
689.672	0.179
695.279	0.17
700.871	0.161
706.451	0.154
712.021	0.147
717.582	0.152
723.137	0.141
728.689	0.139
734.241	0.139
739.794	0.138
745.352	0.136
750.916	0.14
756.488	0.147
762.07	0.158
767.662	0.151
773.266	0.141
778.881	0.131
784.507	0.13
790.142	0.125
795.784	0.125
801.431	0.123
807.079	0.121
812.723	0.119
818.36	0.121
823.983	0.114
829.586	0.119
835.162	0.119
840.705	0.123
846.207	0.123
851.66	0.127
857.058	0.132
862.394	0.133
867.662	0.128
872.856	0.11
877.974	0.111
883.014	0.111
887.978	0.112
892.869	0.114
897.695	0.124
902.469	0.124
907.207	0.124
911.933	0.131
916.677	0.135
921.477	0.142
926.38	0.145
931.444	0.147
936.736	0.15
942.338	0.152
948.346	0.142
948.644	0.148
948.943	0.153
949.243	0.155
949.545	0.155
949.848	0.156
950.152	0.156
